StartTime;EndTime;HoldTime;HoldTimeNormalized;Key;OnCircleHitWindow;IsHit;HitError;PosX;PosY
11955;12422;467;132;K2;false;true;-17.000;49.33;75.56
12511;12720;209;59;K2;true;true;7.000;218.67;63.11
12678;12806;128;36;K1;true;true;-4.000;220.89;63.11
13021;13372;351;99;K2;false;true;-16.000;394.67;88.44
13386;13959;573;161;K1;false;true;-6.000;510.22;135.11
13934;14170;236;66;K2;true;true;10.000;423.11;292.00
14141;14873;732;206;K1;false;true;39.000;416.89;297.33
14821;15230;409;115;K2;false;true;9.000;260.44;357.78
15316;15552;236;66;K2;true;true;-28.000;183.56;196.89
15517;15943;426;120;K1;false;true;-5.000;179.56;184.44
15860;16197;337;95;K2;false;true;-17.000;253.33;68.89
16211;16773;562;158;K1;false;true;-21.000;153.78;20.44
16748;16975;227;64;K2;true;true;-16.000;11.56;115.11
16942;17446;504;142;K1;false;true;0.000;9.78;116.89
17666;18076;410;115;K2;false;true;14.000;12.00;269.78
18181;18386;205;58;K2;true;true;-4.000;194.22;281.33
18365;18795;430;121;K1;false;true;3.000;197.78;284.00
18732;19036;304;86;K2;false;true;15.000;259.56;351.56
19087;19605;518;146;K1;false;true;15.000;324.00;277.33
19593;19829;236;66;K2;true;true;-12.000;394.67;96.89
19780;20292;512;144;K1;false;true;-2.000;395.11;94.67
20497;20915;418;118;K2;false;true;5.000;258.67;24.00
21007;21212;205;58;K2;true;true;-18.000;178.22;177.33
21190;21612;422;119;K1;false;true;-12.000;204.44;233.78
21563;21831;268;75;K2;false;true;6.000;344.44;171.56
21914;22079;165;46;K1;true;true;2.000;451.11;225.78
22079;22233;154;43;K2;true;true;-11.000;451.11;228.00
22281;22620;339;95;K1;false;true;14.000;401.78;281.33
22616;22750;134;38;K2;true;true;-6.000;322.67;367.11
22811;23019;208;59;K1;true;true;11.000;254.22;333.33
22973;23212;239;67;K2;false;true;-4.000;177.33;356.00
23328;23447;119;34;K2;true;true;-4.000;34.22;308.89
23502;23718;216;61;K1;true;true;-8.000;34.22;305.78
23675;24097;422;119;K2;false;true;-12.000;88.44;261.33
24201;24390;189;53;K2;true;true;-19.000;31.11;44.89
24407;24801;394;111;K1;false;true;9.000;115.11;20.00
24748;25076;328;92;K2;false;true;-5.000;225.33;100.00
25107;25935;828;233;K1;false;true;-1.000;346.22;171.11
26175;26516;341;96;K2;false;true;2.000;477.78;36.44
26510;26849;339;95;K1;false;true;-18.000;404.44;155.11
26879;27009;130;37;K2;true;true;-4.000;457.78;264.00
27050;27273;223;63;K1;true;true;-10.000;456.44;274.22
27229;27531;302;85;K2;false;true;-9.000;423.11;337.78
27573;28445;872;246;K1;false;true;-20.000;287.11;275.56
28687;28832;145;41;K2;true;true;29.000;454.22;203.56
29027;29398;371;104;K1;false;true;14.000;270.67;127.56
29398;29541;143;40;K2;true;true;30.000;215.11;2.22
29575;29790;215;61;K1;true;true;30.000;194.67;15.56
29741;30034;293;83;K2;false;true;18.000;142.67;60.44
30066;30463;397;112;K1;false;true;-12.000;25.78;97.33
30422;31261;839;236;K2;false;true;-11.000;100.44;231.56
31485;31837;352;99;K2;false;true;-13.000;180.89;373.78
31859;32385;526;148;K1;false;true;6.000;271.56;306.22
32385;32580;195;55;K2;true;true;-1.000;194.22;100.89
32561;32958;397;112;K1;false;true;-2.000;248.44;41.78
32897;33218;321;90;K2;false;true;-21.000;358.22;108.44
33258;33387;129;36;K1;true;true;-15.000;494.67;65.78
34713;35118;405;114;K2;false;true;20.000;40.00;74.67
35216;35434;218;61;K2;true;true;-10.000;248.89;24.89
35425;35781;356;100;K1;false;true;22.000;320.00;82.67
35757;36084;327;92;K2;false;true;-1.000;220.44;189.33
36112;36612;500;141;K1;false;true;-2.000;173.33;343.11
36619;36831;212;60;K2;true;true;-27.000;392.44;315.11
36802;37217;415;117;K1;false;true;-22.000;478.22;310.22
37159;37487;328;92;K2;false;true;-20.000;388.00;180.89
37523;38063;540;152;K1;false;true;-11.000;409.78;27.56
38050;38252;202;57;K2;true;true;-16.000;207.11;114.22
38247;38579;332;94;K1;false;true;3.000;285.78;162.22
38601;38707;106;30;K2;true;true;2.000;338.67;306.67
38749;38970;221;62;K1;true;true;-27.000;337.78;314.22
38931;39366;435;123;K2;false;true;-23.000;276.44;362.22
39468;39654;186;52;K2;true;true;-18.000;16.44;373.33
39657;40072;415;117;K1;false;true;-7.000;21.33;297.78
40014;40339;325;92;K2;false;true;-5.000;102.67;156.89
40366;40893;527;148;K1;false;true;-8.000;204.00;34.67
40887;41108;221;62;K2;true;true;-19.000;451.56;26.22
41091;41413;322;91;K1;false;true;7.000;441.78;111.11
41438;41564;126;35;K2;true;true;-1.000;500.44;241.33
41603;41840;237;67;K1;true;true;-13.000;491.56;272.44
41802;42133;331;93;K2;false;true;8.000;437.33;344.89
42150;42477;327;92;K1;false;true;1.000;304.00;253.33
42494;42630;136;38;K2;true;true;-10.000;154.22;192.44
42678;42909;231;65;K1;true;true;-4.000;156.44;188.00
42867;43164;297;84;K2;false;true;8.000;245.33;131.11
43201;43741;540;152;K1;false;true;-13.000;140.00;49.78
43741;43932;191;54;K2;true;true;-6.000;12.89;136.44
43938;44263;325;92;K1;false;true;14.000;71.11;197.78
44281;44405;124;35;K2;true;true;2.000;36.00;371.56
44458;44683;225;63;K1;true;true;1.000;55.56;380.89
44638;44872;234;66;K2;false;true;4.000;139.56;376.44
44983;45109;126;35;K2;true;true;-6.000;270.22;299.56
45155;45401;246;69;K1;true;true;-12.000;264.89;292.89
45352;45639;287;81;K2;false;true;8.000;190.22;231.56
45697;46017;320;90;K1;false;true;-2.000;79.56;100.44
46048;46197;149;42;K2;true;true;-6.000;188.44;-2.67
